№з/п,Повне найменування політичної партії,Дата реєстрації політичної партії(дд.мм.рррр),Номер свідоцтва про реєстрацію політичної партії,Адреса місцезнаходження керівних органів місцевої організації партії (юридична адреса)
140.,ПОЛІТИЧНА ПАРТІЯ «ОНОВЛЕННЯ»,17.12.2008,№ 164-п.п.,"01015, м. Київ, вул. Цитадельна, буд. 4/7, кв. 33."
141.,ПОЛІТИЧНА ПАРТІЯ «СПРАВА»,12.01.2009,№ 165-п.п.,"49000, Дніпропетровська обл.,м. Дніпропетровськ, р-н Центральний, вул. Старокозацька, буд. 58"
142.,Політична партія «Партія економічного відродження України»,14.01.2009,№ 166-п.п.,"01010, м. Київ, вул. Івана Мазепи, буд. 3, офіс 197"
143.,Політична партія «Партія Народний порядок»,16.03.2009,№ 167-п.п.,"Донецька обл., м. Донецьк, вул. Постишева, 11, кв.8"
144.,Політична партія «СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ»,25.03.2009,№ 168-п.п.,"м. Київ, бул. Дружби Народів, 28,корпус В, оф. 311"
145.,Політична партія «Всеукраїнська партія «Дітей війни»,13.04.2009,№ 170-п.п.,"м. Київ, вул. Бажова, 12, оф. 3"
146.,Політична партія «ДІТИ ВІЙНИ «НАРОДНА ПАРТІЯ УКРАЇНИ»,14.04.2009,№ 171-п.п.,"Донецька обл., м. Слов’янськ,вул. Генерала Батюка, буд.8(в ЄРГФ місцезнаходження – Донецька обл., м. Слов’янськ, вул. Генерала Батюка, буд.8, офіс 1)"
147.,Політична партія «Рідне місто»,22.04.2009,№ 172-п.п.,"м. Київ, вул. Вишгородська, 14"
148.,ПОЛІТИЧНА ПАРТІЯ «НАШ ДІМ»,20.04.2009,№ 173-п.п.,"49044, м. Дніпропетровськ,бул. Катеринославський, буд. 2, офіс 610"
149.,Політична партія «Партія сильної влади»,09.07.2009,№ 174-п.п.,"м. Київ, Алма-Атинська, 39-А, кв. 282(в ЄРГФ місцезнаходження – м. Київ, Алмаатинська, 39-А/282)"
150.,Політична партія «Справедлива країна»,09.07.2009,№ 175-п.п.,"м. Дніпропетровськ,вул. Молодогвардійська, 2-Д"
151.,Політична партія «Партія місцевого самоврядування»,13.07.2009,№ 176-п.п.,"01033, м. Київ, вул. Микільсько-Ботанічна, буд. 6/8, оф. 41"
152.,Політична партія «Праведність»,22.01.2010,№ 177-п.п.,"м. Київ, вул. Сосницька, 19, кв. 130"
153.,Політична партія «Солідарність правих сил»,02.04.2010,№ 179-п.п.,"м. Київ, вул. Каховська, буд. 60, офіс 202"
154.,Політична партія «Захист»,02.04.2010,№ 180-п.п.,"02002, м. Київ, вул. Степана Сагайдака, буд 101"
155.,Політична Партія «Опозиційний блок»,23.04.2010,№ 181-п.п.,"04070, м. Київ, вул. Волоська, 6/14"
156.,ПОЛІТИЧНА ПАРТІЯ «ПАТРІОТИ ВОЛИНІ»,23.04.2010,№ 182-п.п.,"43016, Волинська обл., м. Луцьк, вулиця Ковельська, 2, кабінет 2"
157.,Політична партія «За справедливість та добробут»(в стані припинення),30.04.2010,№ 183-п.п.,"Автономна Республіка Крим,м. Сімферополь, вул. Крупської, буд. 27"
158.,Політична партія «Народна сила»,30.04.2010,№ 184-п.п.,"04214, м. Київ, вул. Озерна, 10, кв. 73"
159.,Політичне об’єднання «Рідна Вітчизна»,27.05.2010,№ 185-п.п.,"04071, м. Київ, вул. Верхній Вал, будинок 4А.(в ЄРГФ місцезнаходження – 04071,м. Київ, вул. Верхній Вал, 4а (Літера А))"
160.,Політична партія «Молодь до ВЛАДИ»,10.06.2010,№ 186-п.п.,"04071, м.Київ, вул. Введенська, будинок 6А, н.п. 1"
161.,Політична партія «Воля»,08.09.2010,№ 188-п.п.,"01032, Україна,м. Київ, вул. Саксаганського, буд. 99,кв. 6"
162.,Радикальна партія Олега Ляшка,28.09.2010,№ 189-п.п.,"01021, м.Київ, вул. Кловський узвіз,буд. 7-А, оф. 37-38"
163.,Політична партія «Козацька Народна Партія»,28.09.2010,№ 190-п.п.,"36000, Україна, м. Полтава,вул. Куйбишева, буд. 20а"
164.,ПОЛІТИЧНА ПАРТІЯ «НОВЕ ЖИТТЯ»,16.03.2011,№ 191-п.п.,"м. Київ, пр. Героїв Сталінграду, 11,кв. 18"
165.,Політична партія «Мерітократична партія України»,12.04.2011,№ 192-п.п.,"м. Київ, вул. Костянтинівська, 2а(в ЄРГФ місцезнаходження – м. Київ, вул. Костянтинівська, 2а, 5-й поверх)"
166.,Політична партія «Міст»,19.04.2011,№ 193-п.п.,"02068, м. Київ, вул. Драгоманова, 1-г,кв. 222"
167.,Політична партія «Всеукраїнське аграрне об’єднання «Заступ»,04.05.2011,№ 195-п.п.,"04111, м. Київ, вул. Черняховського,буд. 29"
168.,ПОЛІТИЧНА ПАРТІЯ «УСПІШНА КРАЇНА»,26.07.2011,№ 197-п.п.,"01032, м. Київ, вул. Жилянська, буд. 110"
